"name","latitude","longitude"
"Hacksburg","37.201639","-80.412694"
"Tampere Hacklab","61.481526","23.789241"
"North End Makerspace","47.7182","-122.3129"
"ACME Labs","52.020484","8.546451"
"All Hands Active!","42.279678","-83.746301"
"DevLoL","48.30572","14.28399"
"Shackspace","48.7745","9.239"
"Pixelbar","51.90311","4.449596"
"HET LAB Rotterdam","51.903056","4.448912"
"Hacker Embassy","40.1826","44.51336"
"HackCS","39.992992","-0.068964"
"OpenLandLAB","47.15","16.333333"
"K4CG","49.44879","11.081974"
"Siebdruckwerkstatt K4","49.448391","11.081823"
"Synergy Mill","34.849544","-82.414461"
"F0RTHSP4CE","41.726242","44.770171"
"Hackwerk Aalen","48.854778","10.09053"
"Makerspace - explorhino","48.854641","10.090693"
"Artifactory","-31.901853","115.810307"
"Hackspace Georgsmarienhütte","52.206954","8.021932"
"Bitlair","52.17732","5.41478"
"Pannonian Laboratories","47.850472","16.514694"
"C3D2","51.08113","13.72858"
"Netzbiotop e.V.","51.081068","13.728543"
"ChaosStuff","49.62102","6.12288"
"Vspace.one","48.068263","8.444002"
"Air Light Time & Space","47.552881","-122.329062"
"Biotech Without Borders","40.750184","-73.945594"
"Laboratory B","44.47472","-73.211034"
"I3Detroit","42.453612","-83.11351"
"MuCCC","48.153627","11.560655"
"Chaos Computer Club München","48.153658","11.560793"
"HackerDojo","37.396535","-122.049032"
"Hackerspace Troia","40.159558","26.425108"
"Hackerspace Bremen","53.081868","8.805735"
"Appletonmakerspace","44.2627","-88.431"
"FAU FabLab","49.574115","11.030096"
"Root Access","36.762645","-119.798709"
"Root Access Hackerspace","36.762722","-119.798739"
"Rusted Minds Lab","11.99997","8.53486"
"/dev/tal","51.266814","7.145029"
"Utopiawerkstadt","51.266872","7.145387"
"Omega Verksted","63.41861","10.40196"
"KnoxMakers","35.939229","-83.911127"
"Hackfun","-32.941171","-60.640735"
"3D4C","45.387603","5.730373"
"Bratsk hackerspace","56.151686","101.633501"
"HackLab.TO","43.674423","-79.458341"
"Hacklab Jyväskylä","62.250053","25.706541"
"Vaasa Hacklab","63.087809","21.613178"
"Rancho Electrónico","19.418504","-99.142973"
"Eugene Maker Space","44.052105","-123.129709"
"Mainframe","53.14375","8.2207"
"CADR","56.2872","44.0409"
"Xinchejian","31.192041","121.479418"
"Sheffield Hardware Hackers and Makers","53.36981","-1.474038"
"Bitraf","59.9142","10.74887"
"VarnaLab","43.21669","27.904608"
"TkkrLab","52.216337","6.820547"
"Chaospott","51.438491","7.024999"
"Realraum","47.065554","15.450435"
"Open bioLab Graz","47.0655","15.4506"
"Das Labor","51.480846","7.208606"
"Phoenix Asylum","40.026069","-105.243058"
"Knyfyrtel Hackerspace Poznań","52.405","16.96019"
"Brisbane Makerspace","-27.458851","153.032167"
"Propeller","39.255413","-85.898076"
"The Build Guild","41.099658","-85.155716"
"ENTS","53.572309","-113.582103"
"Cyberhippietotalism","28.608239","-13.828289"
"Protospace","51.077187","-114.023495"
"Calgary Protospace Ltd","51.077244","-114.023483"
"Umeå Hackerspace","63.82329","20.28199"
"Engrenage","47.103056","6.842528"
"Build, RVA","37.577211","-77.469399"
"Red Mountain Makers","33.539942","-86.752924"
"Forge Greensboro","36.06609","-79.791376"
"Radiona","45.812167","15.994615"
"Maker Nexus","37.416353","-122.015318"
"Robots and Dinosaurs","-33.815546","151.089365"
"Laboratoire Ouvert Lyonnais","45.773118","4.837542"
"C-Hack Calw","48.7135","8.738"
"Hackerspace-Uri","46.86465","8.63623"
"Kamloopsmakerspace","50.709107","-120.370805"
"MakeFixHack","42.26676","-72.66898"
"Rust Temple","42.266757","-72.66898"
"Kaunas Makerspace","54.90798","23.870773"
"Hopfenspace","48.53778","11.50608"
"Hakkavélin","64.12919","-21.867067"
"GeekLabs","55.46469","8.459608"
"Hackerspace Santiago","-33.45928","-70.66424"
"L'abscisse","47.323","5.040385"
"MakeHaven","41.31","-72.923611"
"LUG Saar","49.313315","6.746844"
"MAKE Gosport","50.81573","-1.14126"
"Hackfest","46.786448","-71.285621"
"Duluth MakerSpace","46.758391","-92.135892"
"Framingham Makerspace","42.323116","-71.401058"
"PiSeC","49.297485","14.126402"
"Datorföreningen Update","59.867647","17.629518"
"TIF-IT-Labor","50.949381","10.702142"
"Makerspace Gotha","50.949292","10.702236"
"Einstein's Workshop","42.47006","-71.21339"
"LJUDMILA","46.056339","14.505776"
"RizomaLab","46.26656","15.76471"
"Queer feminist kompitreff","47.56845","7.60085"
"Åpen sone for eksperimentell informatikk","59.943049","10.717651"
"HappyLab","48.22802","16.400183"
"Triple Cities Makerspace","42.106023","-75.910962"
"Brooklyn Public Library Information Commons","40.672359","-73.968146"
"Spline","52.455949","13.297178"
"Lowell Makes","42.646133","-71.30955"
"MakerLabs","49.281937","-123.089911"
"CcHUB (Co-creation Hub Nigeria)","6.50617","3.378189"
"Victoria Makerspace","48.4936","-123.413099"
"Hackerspace Minsk Malino","53.8729","27.477969"
"MediaLab","41.892039","12.567283"
"Bluebonnet Library Innovation Space","30.365292","-91.105254"
"Segmentation Vault","48.203646","15.620098"
"Hackerspace Kraków","50.066085","19.943359"
"Leitstelle511-ccch","52.38813","9.71806"
"Hasi","50.868962","8.004639"
"Hackspace Siegen","50.868909","8.004483"
"ApatzyTI","19.087194","-102.3545"
"Uppsala Makerspace","59.84918","17.60802"
"Sensorica","45.527122","-73.597031"
