0,name,brand,class_1,lab,city,county,country_code
1960,pr-650,brother,other,LABSud Montpellier,Montpellier,,FR
1966,makerbot z18,makerbot industries,three_d_printer,ICI Nantes,Nantes,,FR
1967,"trotec laser engraving, cutting & marking machine",trotec,laser,ICI Nantes,Nantes,,FR
1971,prusa mendel 1,reprap,three_d_printer,Lab Top Innovation,Mazères-sur-Salat,,FR
1980,cnc routing,homemade cnc router,cnc_milling,FabLab BEN,BEGLES,Nouvelle Aquitaine,FR
1981,cr10s5,creality,three_d_printer,FabLab BEN,BEGLES,Nouvelle Aquitaine,FR
1982,cnc routing,homemade cnc router,cnc_milling,Nybi.cc,Nancy,,FR
2012,ender-3,creality,three_d_printer,TechF@ctory,Gourdon,,FR
2013,speedy 100,trotec,laser,TechF@ctory,Gourdon,,FR
2014,ultimaker 2+ extended,ultimaker,three_d_printer,TechF@ctory,Gourdon,,FR
2015,einscan-se scanner 3d,shining3d,scanner,TechF@ctory,Gourdon,,FR
2016,dremel 3000,dremel digilab,other,TechF@ctory,Gourdon,,FR
2017,vive,htc,other,TechF@ctory,Gourdon,,FR
2018,ricoh theta s 360°,ricoh,other,TechF@ctory,Gourdon,,FR
2019,stika sv12,roland,vinyl_cutting,TechF@ctory,Gourdon,,FR
2020,finder,flashforge,three_d_printer,TechF@ctory,Gourdon,,FR
2021,inovis nv55,brother,other,TechF@ctory,Gourdon,,FR
2022,pr 655,brother,other,TechF@ctory,Gourdon,,FR
2023,holipress,holimaker,other,TechF@ctory,Gourdon,,FR
2041,ultimaker 3 extended,ultimaker,three_d_printer,TyFab,Brest,,FR
2042,kh-750,kehui,laser,TyFab,Brest,,FR
2077,cameo 3,silhouette,vinyl_cutting,Les établis&co,La Rochelle,,FR
2078,kinect v2 3d scanner,microsoft,scanner,Les établis&co,La Rochelle,,FR
2079,m200,zortrax,three_d_printer,Les établis&co,La Rochelle,,FR
2080,open maker machine pro xl,mon-fablab.fr,cnc_milling,Les établis&co,La Rochelle,,FR
2081,lasercut gesmain 1006 / 90w,lasercut gesmain,laser,Les établis&co,La Rochelle,,FR
2090,replicator 2,makerbot industries,three_d_printer,LAB01,Ambérieu-en-Bugey,,FR
